date,hour,temperature_c
2025-12-11,0,14.8
2025-12-11,1,14.2
2025-12-11,2,13.7
2025-12-11,3,13.3
2025-12-11,4,12.9
2025-12-11,5,12.5
2025-12-11,6,12.1
2025-12-11,7,13.15
2025-12-11,8,17.35
2025-12-11,9,21.6
2025-12-11,10,24.3
2025-12-11,11,26.15
2025-12-11,12,27.4
2025-12-11,13,28.05
2025-12-11,14,28.200000000000003
2025-12-11,15,27.75
2025-12-11,16,26.75
2025-12-11,17,23.8
2025-12-11,18,20.95
2025-12-11,19,19.2
2025-12-11,20,17.7
2025-12-11,21,16.450000000000003
2025-12-11,22,15.399999999999999
2025-12-11,23,14.35
